Code,Name
CURRFX/IDRDZD,Currency Exchange Rates - IDR vs DZD
CURRFX/IDRFJD,Currency Exchange Rates - IDR vs FJD
CURRFX/IDRGYD,Currency Exchange Rates - IDR vs GYD
CURRFX/IDREUR,Currency Exchange Rates - IDR vs EUR
CURRFX/IDRGTQ,Currency Exchange Rates - IDR vs GTQ
CURRFX/IDRHNL,Currency Exchange Rates - IDR vs HNL
CURRFX/IDRINR,Currency Exchange Rates - IDR vs INR
CURRFX/IDRKGS,Currency Exchange Rates - IDR vs KGS
CURRFX/IDRKYD,Currency Exchange Rates - IDR vs KYD
CURRFX/IDRJOD,Currency Exchange Rates - IDR vs JOD
CURRFX/IDRKPW,Currency Exchange Rates - IDR vs KPW
CURRFX/IDRLAK,Currency Exchange Rates - IDR vs LAK
CURRFX/IDRKZT,Currency Exchange Rates - IDR vs KZT
CURRFX/IDRMDL,Currency Exchange Rates - IDR vs MDL
CURRFX/IDRLKR,Currency Exchange Rates - IDR vs LKR
CURRFX/IDRLRD,Currency Exchange Rates - IDR vs LRD
CURRFX/IDRMGA,Currency Exchange Rates - IDR vs MGA
CURRFX/IDRNGN,Currency Exchange Rates - IDR vs NGN
CURRFX/IDRNAD,Currency Exchange Rates - IDR vs NAD
CURRFX/IDRPKR,Currency Exchange Rates - IDR vs PKR
CURRFX/IDRPAB,Currency Exchange Rates - IDR vs PAB
CURRFX/IDRRUB,Currency Exchange Rates - IDR vs RUB
CURRFX/IDRSEK,Currency Exchange Rates - IDR vs SEK
CURRFX/IDRSRD,Currency Exchange Rates - IDR vs SRD
CURRFX/IDRSGD,Currency Exchange Rates - IDR vs SGD
CURRFX/IDRSLL,Currency Exchange Rates - IDR vs SLL
CURRFX/IDRSTD,Currency Exchange Rates - IDR vs STD
CURRFX/IDRTJS,Currency Exchange Rates - IDR vs TJS
CURRFX/IDRSVC,Currency Exchange Rates - IDR vs SVC
CURRFX/IDRTND,Currency Exchange Rates - IDR vs TND
CURRFX/IDRTMT,Currency Exchange Rates - IDR vs TMT
CURRFX/IDRTWD,Currency Exchange Rates - IDR vs TWD
CURRFX/IDRXCD,Currency Exchange Rates - IDR vs XCD
CURRFX/IDRVEF,Currency Exchange Rates - IDR vs VEF
CURRFX/IDRVUV,Currency Exchange Rates - IDR vs VUV
CURRFX/ILSCNY,Currency Exchange Rates - ILS vs CNY
CURRFX/IDRXPF,Currency Exchange Rates - IDR vs XPF
CURRFX/INRAOA,Currency Exchange Rates - INR vs AOA
CURRFX/INRBAM,Currency Exchange Rates - INR vs BAM
CURRFX/INRARS,Currency Exchange Rates - INR vs ARS
CURRFX/INRBND,Currency Exchange Rates - INR vs BND
CURRFX/INRBTN,Currency Exchange Rates - INR vs BTN
CURRFX/INRBIF,Currency Exchange Rates - INR vs BIF
CURRFX/INRKRW,Currency Exchange Rates - INR vs KRW
CURRFX/INRBHD,Currency Exchange Rates - INR vs BHD
CURRFX/INRCLP,Currency Exchange Rates - INR vs CLP
CURRFX/INRCUP,Currency Exchange Rates - INR vs CUP
CURRFX/INRECS,Currency Exchange Rates - INR vs ECS
CURRFX/INRFKP,Currency Exchange Rates - INR vs FKP
CURRFX/INRNPR,Currency Exchange Rates - INR vs NPR
CURRFX/INRDJF,Currency Exchange Rates - INR vs DJF
CURRFX/INRGEL,Currency Exchange Rates - INR vs GEL
CURRFX/INRHKD,Currency Exchange Rates - INR vs HKD
CURRFX/KWDINR,Currency Exchange Rates - KWD vs INR
CURRFX/INRKGS,Currency Exchange Rates - INR vs KGS
CURRFX/INRIRR,Currency Exchange Rates - INR vs IRR
CURRFX/INRMYR,Currency Exchange Rates - INR vs MYR
CURRFX/INRLAK,Currency Exchange Rates - INR vs LAK
CURRFX/INRMAD,Currency Exchange Rates - INR vs MAD
CURRFX/INRMXN,Currency Exchange Rates - INR vs MXN
CURRFX/INRMZN,Currency Exchange Rates - INR vs MZN
CURRFX/INRVUV,Currency Exchange Rates - INR vs VUV
CURRFX/INRNIO,Currency Exchange Rates - INR vs NIO
CURRFX/INRNZD,Currency Exchange Rates - INR vs NZD
CURRFX/KMFINR,Currency Exchange Rates - KMF vs INR
CURRFX/INRPAB,Currency Exchange Rates - INR vs PAB
CURRFX/INRRON,Currency Exchange Rates - INR vs RON
CURRFX/ISKIDR,Currency Exchange Rates - ISK vs IDR
CURRFX/INRSOS,Currency Exchange Rates - INR vs SOS
CURRFX/INRSZL,Currency Exchange Rates - INR vs SZL
CURRFX/INRUSD,Currency Exchange Rates - INR vs USD
CURRFX/INRUZS,Currency Exchange Rates - INR vs UZS
CURRFX/INRXPF,Currency Exchange Rates - INR vs XPF
CURRFX/INRXCD,Currency Exchange Rates - INR vs XCD
CURRFX/INRYER,Currency Exchange Rates - INR vs YER
CURRFX/IQDINR,Currency Exchange Rates - IQD vs INR
CURRFX/IRRCNY,Currency Exchange Rates - IRR vs CNY
CURRFX/KPWGBP,Currency Exchange Rates - KPW vs GBP
CURRFX/JODINR,Currency Exchange Rates - JOD vs INR
CURRFX/JODRUB,Currency Exchange Rates - JOD vs RUB
CURRFX/JMDINR,Currency Exchange Rates - JMD vs INR
CURRFX/JPYGBP,Currency Exchange Rates - JPY vs GBP
CURRFX/JPYRUB,Currency Exchange Rates - JPY vs RUB
CURRFX/KGSGBP,Currency Exchange Rates - KGS vs GBP
CURRFX/KGSCNY,Currency Exchange Rates - KGS vs CNY
CURRFX/KESIDR,Currency Exchange Rates - KES vs IDR
CURRFX/KGSRUB,Currency Exchange Rates - KGS vs RUB
CURRFX/PLNRUB,Currency Exchange Rates - PLN vs RUB
CURRFX/KHRIDR,Currency Exchange Rates - KHR vs IDR
CURRFX/KHRCNY,Currency Exchange Rates - KHR vs CNY
CURRFX/KGSIDR,Currency Exchange Rates - KGS vs IDR
CURRFX/KMFGBP,Currency Exchange Rates - KMF vs GBP
CURRFX/KMFCNY,Currency Exchange Rates - KMF vs CNY
CURRFX/KMFRUB,Currency Exchange Rates - KMF vs RUB
CURRFX/KPWCNY,Currency Exchange Rates - KPW vs CNY
CURRFX/KRWRUB,Currency Exchange Rates - KRW vs RUB
CURRFX/KRWAUD,Currency Exchange Rates - KRW vs AUD
CURRFX/PLNINR,Currency Exchange Rates - PLN vs INR
CURRFX/KWDCNY,Currency Exchange Rates - KWD vs CNY
CURRFX/KWDGBP,Currency Exchange Rates - KWD vs GBP
CURRFX/KYDINR,Currency Exchange Rates - KYD vs INR
CURRFX/KZTRUB,Currency Exchange Rates - KZT vs RUB
CURRFX/LAKRUB,Currency Exchange Rates - LAK vs RUB
CURRFX/LBPCNY,Currency Exchange Rates - LBP vs CNY
CURRFX/LKRCNY,Currency Exchange Rates - LKR vs CNY
CURRFX/LRDIDR,Currency Exchange Rates - LRD vs IDR
CURRFX/LRDGBP,Currency Exchange Rates - LRD vs GBP
CURRFX/LSLRUB,Currency Exchange Rates - LSL vs RUB
CURRFX/MADINR,Currency Exchange Rates - MAD vs INR
CURRFX/MGACNY,Currency Exchange Rates - MGA vs CNY
CURRFX/MDLINR,Currency Exchange Rates - MDL vs INR
CURRFX/MDLCNY,Currency Exchange Rates - MDL vs CNY
CURRFX/PYGCNY,Currency Exchange Rates - PYG vs CNY
CURRFX/MGAGBP,Currency Exchange Rates - MGA vs GBP
CURRFX/MMKCNY,Currency Exchange Rates - MMK vs CNY
CURRFX/MGAINR,Currency Exchange Rates - MGA vs INR
CURRFX/MKDRUB,Currency Exchange Rates - MKD vs RUB
CURRFX/PYGGBP,Currency Exchange Rates - PYG vs GBP
CURRFX/MNTINR,Currency Exchange Rates - MNT vs INR
CURRFX/MNTIDR,Currency Exchange Rates - MNT vs IDR
CURRFX/MOPGBP,Currency Exchange Rates - MOP vs GBP
CURRFX/MNTRUB,Currency Exchange Rates - MNT vs RUB
CURRFX/MOPINR,Currency Exchange Rates - MOP vs INR
CURRFX/MURRUB,Currency Exchange Rates - MUR vs RUB
CURRFX/MWKINR,Currency Exchange Rates - MWK vs INR
CURRFX/MWKIDR,Currency Exchange Rates - MWK vs IDR
CURRFX/MWKGBP,Currency Exchange Rates - MWK vs GBP
CURRFX/MXNRUB,Currency Exchange Rates - MXN vs RUB
CURRFX/NGNEUR,Currency Exchange Rates - NGN vs EUR
CURRFX/MZNIDR,Currency Exchange Rates - MZN vs IDR
CURRFX/MZNRUB,Currency Exchange Rates - MZN vs RUB
CURRFX/NADIDR,Currency Exchange Rates - NAD vs IDR
CURRFX/NGNINR,Currency Exchange Rates - NGN vs INR
CURRFX/NGNRUB,Currency Exchange Rates - NGN vs RUB
CURRFX/NIOCNY,Currency Exchange Rates - NIO vs CNY
CURRFX/NOKIDR,Currency Exchange Rates - NOK vs IDR
CURRFX/NPRINR,Currency Exchange Rates - NPR vs INR
CURRFX/NZDIDR,Currency Exchange Rates - NZD vs IDR
CURRFX/PYGRUB,Currency Exchange Rates - PYG vs RUB
CURRFX/NZDCNY,Currency Exchange Rates - NZD vs CNY
CURRFX/OMRGBP,Currency Exchange Rates - OMR vs GBP
CURRFX/PHPCNY,Currency Exchange Rates - PHP vs CNY
CURRFX/OMRCNY,Currency Exchange Rates - OMR vs CNY
CURRFX/PGKCNY,Currency Exchange Rates - PGK vs CNY
CURRFX/PHPRUB,Currency Exchange Rates - PHP vs RUB
CURRFX/PHPIDR,Currency Exchange Rates - PHP vs IDR
CURRFX/PLNGBP,Currency Exchange Rates - PLN vs GBP
CURRFX/PLNIDR,Currency Exchange Rates - PLN vs IDR
CURRFX/AMDGBP,Currency Exchange Rates - AMD vs GBP
CURRFX/CNYHUF,Currency Exchange Rates - CNY vs HUF
CURRFX/AEDCNY,Currency Exchange Rates - AED vs CNY
CURRFX/AEDRUB,Currency Exchange Rates - AED vs RUB
CURRFX/AEDIDR,Currency Exchange Rates - AED vs IDR
CURRFX/AFNGBP,Currency Exchange Rates - AFN vs GBP
CURRFX/ALLIDR,Currency Exchange Rates - ALL vs IDR
CURRFX/AOACNY,Currency Exchange Rates - AOA vs CNY
CURRFX/AUDBOB,Currency Exchange Rates - AUD vs BOB
CURRFX/CHFJPY,Currency Exchange Rates - CHF vs JPY
CURRFX/AUDGEL,Currency Exchange Rates - AUD vs GEL
CURRFX/AZNUSD,Currency Exchange Rates - AZN vs USD
CURRFX/QARIDR,Currency Exchange Rates - QAR vs IDR
CURRFX/RSDIDR,Currency Exchange Rates - RSD vs IDR
CURRFX/RSDINR,Currency Exchange Rates - RSD vs INR
CURRFX/RUBAED,Currency Exchange Rates - RUB vs AED
CURRFX/RUBAFN,Currency Exchange Rates - RUB vs AFN
CURRFX/RUBAWG,Currency Exchange Rates - RUB vs AWG
CURRFX/RUBBBD,Currency Exchange Rates - RUB vs BBD
CURRFX/RUBAUD,Currency Exchange Rates - RUB vs AUD
CURRFX/RUBAOA,Currency Exchange Rates - RUB vs AOA
CURRFX/RUBBAM,Currency Exchange Rates - RUB vs BAM
CURRFX/RUBBSD,Currency Exchange Rates - RUB vs BSD
CURRFX/RUBBOB,Currency Exchange Rates - RUB vs BOB
CURRFX/RUBBWP,Currency Exchange Rates - RUB vs BWP
CURRFX/SVCGBP,Currency Exchange Rates - SVC vs GBP
CURRFX/RUBCZK,Currency Exchange Rates - RUB vs CZK
CURRFX/RUBCVE,Currency Exchange Rates - RUB vs CVE
CURRFX/XCDIDR,Currency Exchange Rates - XCD vs IDR
CURRFX/RUBCNY,Currency Exchange Rates - RUB vs CNY
CURRFX/RUBETB,Currency Exchange Rates - RUB vs ETB
CURRFX/RUBGHS,Currency Exchange Rates - RUB vs GHS
CURRFX/RUBGBP,Currency Exchange Rates - RUB vs GBP
CURRFX/RUBHNL,Currency Exchange Rates - RUB vs HNL
CURRFX/RUBIDR,Currency Exchange Rates - RUB vs IDR
CURRFX/RUBJMD,Currency Exchange Rates - RUB vs JMD
CURRFX/RUBKMF,Currency Exchange Rates - RUB vs KMF
CURRFX/RUBLRD,Currency Exchange Rates - RUB vs LRD
CURRFX/RUBMAD,Currency Exchange Rates - RUB vs MAD
CURRFX/RUBMUR,Currency Exchange Rates - RUB vs MUR
CURRFX/RUBNPR,Currency Exchange Rates - RUB vs NPR
CURRFX/RUBPAB,Currency Exchange Rates - RUB vs PAB
CURRFX/RUBPEN,Currency Exchange Rates - RUB vs PEN
CURRFX/RUBPLN,Currency Exchange Rates - RUB vs PLN
CURRFX/RUBQAR,Currency Exchange Rates - RUB vs QAR
CURRFX/RUBSEK,Currency Exchange Rates - RUB vs SEK
CURRFX/RUBSTD,Currency Exchange Rates - RUB vs STD
CURRFX/RUBSVC,Currency Exchange Rates - RUB vs SVC
CURRFX/RUBTHB,Currency Exchange Rates - RUB vs THB
CURRFX/RUBUGX,Currency Exchange Rates - RUB vs UGX
CURRFX/RUBTTD,Currency Exchange Rates - RUB vs TTD
CURRFX/RUBTRY,Currency Exchange Rates - RUB vs TRY
CURRFX/RUBTWD,Currency Exchange Rates - RUB vs TWD
CURRFX/TZSINR,Currency Exchange Rates - TZS vs INR
CURRFX/RUBXAF,Currency Exchange Rates - RUB vs XAF
CURRFX/RUBXCD,Currency Exchange Rates - RUB vs XCD
CURRFX/SBDCNY,Currency Exchange Rates - SBD vs CNY
CURRFX/SCRIDR,Currency Exchange Rates - SCR vs IDR
CURRFX/SCRINR,Currency Exchange Rates - SCR vs INR
CURRFX/SCRRUB,Currency Exchange Rates - SCR vs RUB
CURRFX/SEKIDR,Currency Exchange Rates - SEK vs IDR
CURRFX/SEKINR,Currency Exchange Rates - SEK vs INR
CURRFX/SGDGBP,Currency Exchange Rates - SGD vs GBP
CURRFX/SGDIDR,Currency Exchange Rates - SGD vs IDR
CURRFX/SGDRUB,Currency Exchange Rates - SGD vs RUB
CURRFX/SHPINR,Currency Exchange Rates - SHP vs INR
CURRFX/SHPGBP,Currency Exchange Rates - SHP vs GBP
CURRFX/STDCNY,Currency Exchange Rates - STD vs CNY
CURRFX/STDINR,Currency Exchange Rates - STD vs INR
CURRFX/SVCIDR,Currency Exchange Rates - SVC vs IDR
CURRFX/SYPCNY,Currency Exchange Rates - SYP vs CNY
CURRFX/SYPGBP,Currency Exchange Rates - SYP vs GBP
CURRFX/SVCRUB,Currency Exchange Rates - SVC vs RUB
CURRFX/SZLIDR,Currency Exchange Rates - SZL vs IDR
CURRFX/THBCNY,Currency Exchange Rates - THB vs CNY
CURRFX/TNDCNY,Currency Exchange Rates - TND vs CNY
CURRFX/SZLINR,Currency Exchange Rates - SZL vs INR
CURRFX/THBRUB,Currency Exchange Rates - THB vs RUB
CURRFX/TJSINR,Currency Exchange Rates - TJS vs INR
CURRFX/TMTGBP,Currency Exchange Rates - TMT vs GBP
CURRFX/TTDGBP,Currency Exchange Rates - TTD vs GBP
CURRFX/TTDIDR,Currency Exchange Rates - TTD vs IDR
CURRFX/TWDIDR,Currency Exchange Rates - TWD vs IDR
CURRFX/TZSGBP,Currency Exchange Rates - TZS vs GBP
CURRFX/TZSIDR,Currency Exchange Rates - TZS vs IDR
CURRFX/USDALL,Currency Exchange Rates - USD vs ALL
CURRFX/USDGBP,Currency Exchange Rates - USD vs GBP
CURRFX/ZMWRUB,Currency Exchange Rates - ZMW vs RUB
CURRFX/USDINR,Currency Exchange Rates - USD vs INR
CURRFX/USDQAR,Currency Exchange Rates - USD vs QAR
CURRFX/USDSYP,Currency Exchange Rates - USD vs SYP
CURRFX/UYUCNY,Currency Exchange Rates - UYU vs CNY
CURRFX/UYURUB,Currency Exchange Rates - UYU vs RUB
CURRFX/VEFCNY,Currency Exchange Rates - VEF vs CNY
CURRFX/VEFIDR,Currency Exchange Rates - VEF vs IDR
CURRFX/VNDINR,Currency Exchange Rates - VND vs INR
CURRFX/VNDIDR,Currency Exchange Rates - VND vs IDR
CURRFX/VNDRUB,Currency Exchange Rates - VND vs RUB
CURRFX/VUVINR,Currency Exchange Rates - VUV vs INR
CURRFX/WSTIDR,Currency Exchange Rates - WST vs IDR
CURRFX/XAFRUB,Currency Exchange Rates - XAF vs RUB
CURRFX/XCDGBP,Currency Exchange Rates - XCD vs GBP
CURRFX/XCDRUB,Currency Exchange Rates - XCD vs RUB
CURRFX/XCDINR,Currency Exchange Rates - XCD vs INR
CURRFX/XOFGBP,Currency Exchange Rates - XOF vs GBP
CURRFX/YERGBP,Currency Exchange Rates - YER vs GBP
CURRFX/YERIDR,Currency Exchange Rates - YER vs IDR
CURRFX/ZARRUB,Currency Exchange Rates - ZAR vs RUB
CURRFX/ZMWIDR,Currency Exchange Rates - ZMW vs IDR
CURRFX/ZMWINR,Currency Exchange Rates - ZMW vs INR
CURRFX/EURNZD,Currency Exchange Rates - EUR vs NZD
CURRFX/EURNOK,Currency Exchange Rates - EUR vs NOK
CURRFX/LRDAUD,Currency Exchange Rates - LRD vs AUD
CURRFX/SYPUSD,Currency Exchange Rates - SYP vs USD
CURRFX/VEFGBP,Currency Exchange Rates - VEF vs GBP
CURRFX/FRFEUR,Currency Exchange Rates - FRF vs EUR
CURRFX/EUREEK,Currency Exchange Rates - EUR vs EEK
CURRFX/SOSAUD,Currency Exchange Rates - SOS vs AUD
CURRFX/EURTMM,Currency Exchange Rates - EUR vs TMM
CURRFX/USDBAM,Currency Exchange Rates - USD vs BAM
CURRFX/ROLUSD,Currency Exchange Rates - ROL vs USD
CURRFX/MZMUSD,Currency Exchange Rates - MZM vs USD
CURRFX/AUDTMM,Currency Exchange Rates - AUD vs TMM
CURRFX/AUDBBD,Currency Exchange Rates - AUD vs BBD
CURRFX/AUDARS,Currency Exchange Rates - AUD vs ARS
CURRFX/AUDMUR,Currency Exchange Rates - AUD vs MUR
CURRFX/BZDUSD,Currency Exchange Rates - BZD vs USD
CURRFX/CNYARS,Currency Exchange Rates - CNY vs ARS
CURRFX/EURKMF,Currency Exchange Rates - EUR vs KMF
CURRFX/EURPGK,Currency Exchange Rates - EUR vs PGK
CURRFX/ISKAUD,Currency Exchange Rates - ISK vs AUD
CURRFX/GIPAUD,Currency Exchange Rates - GIP vs AUD
CURRFX/GTQEUR,Currency Exchange Rates - GTQ vs EUR
CURRFX/KPWEUR,Currency Exchange Rates - KPW vs EUR
CURRFX/USDSVC,Currency Exchange Rates - USD vs SVC
CURRFX/JPYCHF,Currency Exchange Rates - JPY vs CHF
CURRFX/LKRGBP,Currency Exchange Rates - LKR vs GBP
CURRFX/LRDRUB,Currency Exchange Rates - LRD vs RUB
CURRFX/NOKUSD,Currency Exchange Rates - NOK vs USD
CURRFX/NIOEUR,Currency Exchange Rates - NIO vs EUR
CURRFX/PENEUR,Currency Exchange Rates - PEN vs EUR
CURRFX/MVREUR,Currency Exchange Rates - MVR vs EUR
CURRFX/NPRUSD,Currency Exchange Rates - NPR vs USD
CURRFX/SBDEUR,Currency Exchange Rates - SBD vs EUR
CURRFX/USDYER,Currency Exchange Rates - USD vs YER
CURRFX/SVCEUR,Currency Exchange Rates - SVC vs EUR
CURRFX/USDSBD,Currency Exchange Rates - USD vs SBD
CURRFX/USDANG,Currency Exchange Rates - USD vs ANG
CURRFX/SZLEUR,Currency Exchange Rates - SZL vs EUR
CURRFX/USDCHF,Currency Exchange Rates - USD vs CHF
CURRFX/THBUSD,Currency Exchange Rates - THB vs USD
CURRFX/USDCAD,Currency Exchange Rates - USD vs CAD
CURRFX/USDNOK,Currency Exchange Rates - USD vs NOK
CURRFX/USDPEN,Currency Exchange Rates - USD vs PEN
CURRFX/XCDEUR,Currency Exchange Rates - XCD vs EUR
CURRFX/QARUSD,Currency Exchange Rates - QAR vs USD
CURRFX/USDGIP,Currency Exchange Rates - USD vs GIP
CURRFX/DKKEUR,Currency Exchange Rates - DKK vs EUR
CURRFX/EURCOP,Currency Exchange Rates - EUR vs COP
CURRFX/USDLVL,Currency Exchange Rates - USD vs LVL
CURRFX/ZWDAUD,Currency Exchange Rates - ZWD vs AUD
CURRFX/AUDLBP,Currency Exchange Rates - AUD vs LBP
CURRFX/EURSKK,Currency Exchange Rates - EUR vs SKK
CURRFX/ALLRUB,Currency Exchange Rates - ALL vs RUB
CURRFX/AUDDZD,Currency Exchange Rates - AUD vs DZD
CURRFX/AUDOMR,Currency Exchange Rates - AUD vs OMR
CURRFX/AUDSEK,Currency Exchange Rates - AUD vs SEK
CURRFX/CADNOK,Currency Exchange Rates - CAD vs NOK
CURRFX/BYRGBP,Currency Exchange Rates - BYR vs GBP
CURRFX/CNYCLP,Currency Exchange Rates - CNY vs CLP
CURRFX/CNYGEL,Currency Exchange Rates - CNY vs GEL
CURRFX/DZDEUR,Currency Exchange Rates - DZD vs EUR
CURRFX/CNYQAR,Currency Exchange Rates - CNY vs QAR
CURRFX/EURBRL,Currency Exchange Rates - EUR vs BRL
CURRFX/EURPAB,Currency Exchange Rates - EUR vs PAB
CURRFX/CUPGBP,Currency Exchange Rates - CUP vs GBP
CURRFX/EURTRY,Currency Exchange Rates - EUR vs TRY
CURRFX/GBPBAM,Currency Exchange Rates - GBP vs BAM
CURRFX/GBPGNF,Currency Exchange Rates - GBP vs GNF
CURRFX/IDRLSL,Currency Exchange Rates - IDR vs LSL
CURRFX/INRAFN,Currency Exchange Rates - INR vs AFN
CURRFX/INRAWG,Currency Exchange Rates - INR vs AWG
CURRFX/MKDAUD,Currency Exchange Rates - MKD vs AUD
CURRFX/INRNOK,Currency Exchange Rates - INR vs NOK
CURRFX/INRSDG,Currency Exchange Rates - INR vs SDG
CURRFX/NZDAUD,Currency Exchange Rates - NZD vs AUD
CURRFX/MADGBP,Currency Exchange Rates - MAD vs GBP
CURRFX/KZTUSD,Currency Exchange Rates - KZT vs USD
CURRFX/JPYNZD,Currency Exchange Rates - JPY vs NZD
CURRFX/KWDIDR,Currency Exchange Rates - KWD vs IDR
CURRFX/LSLUSD,Currency Exchange Rates - LSL vs USD
CURRFX/MADCNY,Currency Exchange Rates - MAD vs CNY
CURRFX/MYRIDR,Currency Exchange Rates - MYR vs IDR
CURRFX/RONEUR,Currency Exchange Rates - RON vs EUR
CURRFX/PKRAUD,Currency Exchange Rates - PKR vs AUD
CURRFX/RUBMRO,Currency Exchange Rates - RUB vs MRO
CURRFX/USDECS,Currency Exchange Rates - USD vs ECS
CURRFX/USDSOS,Currency Exchange Rates - USD vs SOS
CURRFX/USDDOP,Currency Exchange Rates - USD vs DOP
CURRFX/USDHKD,Currency Exchange Rates - USD vs HKD
CURRFX/XOFINR,Currency Exchange Rates - XOF vs INR
CURRFX/ZMWEUR,Currency Exchange Rates - ZMW vs EUR
CURRFX/AUDIQD,Currency Exchange Rates - AUD vs IQD
CURRFX/EURUGX,Currency Exchange Rates - EUR vs UGX
CURRFX/EURXOF,Currency Exchange Rates - EUR vs XOF
CURRFX/MGFUSD,Currency Exchange Rates - MGF vs USD
CURRFX/AUDTRY,Currency Exchange Rates - AUD vs TRY
CURRFX/AUDDKK,Currency Exchange Rates - AUD vs DKK
CURRFX/BSDAUD,Currency Exchange Rates - BSD vs AUD
CURRFX/BRLUSD,Currency Exchange Rates - BRL vs USD
CURRFX/CDFAUD,Currency Exchange Rates - CDF vs AUD
CURRFX/AUDTJS,Currency Exchange Rates - AUD vs TJS
CURRFX/DOPEUR,Currency Exchange Rates - DOP vs EUR
CURRFX/EURCUP,Currency Exchange Rates - EUR vs CUP
CURRFX/EURUZS,Currency Exchange Rates - EUR vs UZS
CURRFX/VUVEUR,Currency Exchange Rates - VUV vs EUR
CURRFX/NOKCAD,Currency Exchange Rates - NOK vs CAD
CURRFX/CUPUSD,Currency Exchange Rates - CUP vs USD
CURRFX/CZKAUD,Currency Exchange Rates - CZK vs AUD
CURRFX/CZKEUR,Currency Exchange Rates - CZK vs EUR
CURRFX/GELEUR,Currency Exchange Rates - GEL vs EUR
CURRFX/GHSUSD,Currency Exchange Rates - GHS vs USD
CURRFX/DZDAUD,Currency Exchange Rates - DZD vs AUD
CURRFX/EURSAR,Currency Exchange Rates - EUR vs SAR
CURRFX/EURUAH,Currency Exchange Rates - EUR vs UAH
CURRFX/PENUSD,Currency Exchange Rates - PEN vs USD
CURRFX/AUDMZM,Currency Exchange Rates - AUD vs MZM
CURRFX/CADEUR,Currency Exchange Rates - CAD vs EUR
CURRFX/AUDETB,Currency Exchange Rates - AUD vs ETB
CURRFX/AUDSZL,Currency Exchange Rates - AUD vs SZL
CURRFX/EURFKP,Currency Exchange Rates - EUR vs FKP
CURRFX/EURLAK,Currency Exchange Rates - EUR vs LAK
CURRFX/EURPLN,Currency Exchange Rates - EUR vs PLN
CURRFX/EURVEF,Currency Exchange Rates - EUR vs VEF
CURRFX/USDEEK,Currency Exchange Rates - USD vs EEK
CURRFX/USDZWD,Currency Exchange Rates - USD vs ZWD
CURRFX/SKKEUR,Currency Exchange Rates - SKK vs EUR
CURRFX/CHFEUR,Currency Exchange Rates - CHF vs EUR
CURRFX/CHFSEK,Currency Exchange Rates - CHF vs SEK
CURRFX/KWDAUD,Currency Exchange Rates - KWD vs AUD
CURRFX/MXNUSD,Currency Exchange Rates - MXN vs USD
CURRFX/NIOAUD,Currency Exchange Rates - NIO vs AUD
CURRFX/MZNEUR,Currency Exchange Rates - MZN vs EUR
CURRFX/NOKJPY,Currency Exchange Rates - NOK vs JPY
CURRFX/NIOUSD,Currency Exchange Rates - NIO vs USD
CURRFX/NZDCAD,Currency Exchange Rates - NZD vs CAD
CURRFX/VEFUSD,Currency Exchange Rates - VEF vs USD
CURRFX/YERUSD,Currency Exchange Rates - YER vs USD
CURRFX/USDNPR,Currency Exchange Rates - USD vs NPR
CURRFX/USDRSD,Currency Exchange Rates - USD vs RSD
CURRFX/USDXCD,Currency Exchange Rates - USD vs XCD
CURRFX/USDTMT,Currency Exchange Rates - USD vs TMT
CURRFX/USDVEF,Currency Exchange Rates - USD vs VEF
CURRFX/USDMZN,Currency Exchange Rates - USD vs MZN
CURRFX/USDTJS,Currency Exchange Rates - USD vs TJS
CURRFX/BHDEUR,Currency Exchange Rates - BHD vs EUR
CURRFX/SRGINR,Currency Exchange Rates - SRG vs INR
CURRFX/LVLAUD,Currency Exchange Rates - LVL vs AUD
CURRFX/BAMAUD,Currency Exchange Rates - BAM vs AUD
CURRFX/EURAUD,Currency Exchange Rates - EUR vs AUD
CURRFX/EURKYD,Currency Exchange Rates - EUR vs KYD
CURRFX/BAMEUR,Currency Exchange Rates - BAM vs EUR
CURRFX/CVEAUD,Currency Exchange Rates - CVE vs AUD
CURRFX/ECSUSD,Currency Exchange Rates - ECS vs USD
CURRFX/EURBAM,Currency Exchange Rates - EUR vs BAM
CURRFX/EURHKD,Currency Exchange Rates - EUR vs HKD
CURRFX/EURISK,Currency Exchange Rates - EUR vs ISK
CURRFX/EURMNT,Currency Exchange Rates - EUR vs MNT
CURRFX/EURZMW,Currency Exchange Rates - EUR vs ZMW
CURRFX/HTGUSD,Currency Exchange Rates - HTG vs USD
CURRFX/GELUSD,Currency Exchange Rates - GEL vs USD
CURRFX/SEKAUD,Currency Exchange Rates - SEK vs AUD
CURRFX/USDAMD,Currency Exchange Rates - USD vs AMD
CURRFX/PKRUSD,Currency Exchange Rates - PKR vs USD
CURRFX/SEKNOK,Currency Exchange Rates - SEK vs NOK
CURRFX/USDKWD,Currency Exchange Rates - USD vs KWD
CURRFX/USDMGA,Currency Exchange Rates - USD vs MGA
CURRFX/USDNGN,Currency Exchange Rates - USD vs NGN
CURRFX/AUDKES,Currency Exchange Rates - AUD vs KES
CURRFX/AUDTWD,Currency Exchange Rates - AUD vs TWD
CURRFX/EURGYD,Currency Exchange Rates - EUR vs GYD
CURRFX/EURHNL,Currency Exchange Rates - EUR vs HNL
CURRFX/EURMZN,Currency Exchange Rates - EUR vs MZN
CURRFX/HRKAUD,Currency Exchange Rates - HRK vs AUD
CURRFX/HUFUSD,Currency Exchange Rates - HUF vs USD
